chip,l,a,b
10YR 8/1,73.9,3.4,18.1
10YR 8/2,71.2,5.6,21.8
10YR 8/3,74.7,6.3,24
10YR 8/4,73.7,8.2,27.8
10YR 8/6,74.1,10.5,35
10YR 8/8,74.7,15.1,45.9
10YR 7/1,67.4,1.9,10
10YR 7/2,68.8,3.8,15.8
10YR 7/3,69.2,6.1,21.2
10YR 7/4,67.7,7.7,25.6
10YR 7/6,66.2,11.2,33.3
10YR 7/8,66.2,14.4,41.5
10YR 6/1,61.1,2.3,9.1
10YR 6/2,60.7,3.5,12.8
10YR 6/3,58.2,5.2,18.2
10YR 6/4,59,7.8,23
10YR 6/6,59.2,11.7,31.3
10YR 6/8,58.3,14.8,37.4
10YR 5/1,52,1.6,5.9
10YR 5/2,53.1,4.3,13
10YR 5/3,52.1,6.1,16.6
10YR 5/4,51,5.9,16.2
10YR 5/6,49.5,10.4,27.7
10YR 5/8,49.8,12.5,28.9
10YR 4/1,43.1,2.3,6.1
10YR 4/2,41.4,4,11.2
10YR 4/3,40,6.7,15.9
10YR 4/4,42.7,8.4,20
10YR 4/6,41.5,12.2,32.3
10YR 3/1,33.5,2.2,4.6
10YR 3/2,32,3.8,7.4
10YR 3/3,29.2,7.7,19.1
10YR 3/4,31.9,8.4,20.9
10YR 3/6,32.4,11.5,26.6
10YR 2/1,21.3,2.6,4.8
10YR 2/2,22.1,5.1,9.5
