chip	L	a	b
2.5Y 8/1	81.70666667	0.003333333	5.643333333
2.5Y 8/2	82.62666667	-0.163333333	15.09
2.5Y 8/3	82.63333333	0.4	21.03333333
2.5Y 8/4	82.5	1.306666667	27.61
2.5Y 8/6	82.58333333	3.073333333	40.97
2.5Y 8/8	81.91333333	5.66	53.5
2.5Y 7/1	72.20333333	0.11	5.91
2.5Y 7/2	72.08666667	0.56	12.90666667
2.5Y 7/3	72.45333333	1.713333333	20.15666667
2.5Y 7/4	72.73	2.71	27.79
2.5Y 7/6	72.20333333	4.013333333	40.89333333
2.5Y 7/8	72.46666667	7.413333333	54.52
2.5Y 6/1	62.70333333	0.61	6.61
2.5Y 6/2	62.7	1.086666667	14.08666667
2.5Y 6/3	63.25333333	2.16	20.74333333
2.5Y 6/4	62.82	3.153333333	27.33666667
2.5Y 6/6	62.79333333	4.753333333	40.56333333
2.5Y 6/8	63.52333333	7.966666667	53.75333333
2.5Y 5/1	53.03	1.27	6.876666667
2.5Y 5/2	52.82333333	2.446666667	13.35666667
2.5Y 5/3	53.63	2.586666667	20.52666667
2.5Y 5/4	53.36666667	4.2	26.71333333
2.5Y 5/6	55.23666667	6.513333333	39.87666667
2.5Y 4/1	42.99333333	1.55	7.23
2.5Y 4/2	43.09333333	2.673333333	13.88
2.5Y 4/3	43.28333333	3.36	19.36666667
2.5Y 4/4	43.36666667	5.163333333	25.17333333
2.5Y 3/1	33.51	1.243333333	5.493333333
2.5Y 3/2	30.06	4.82	13.62333333
2.5Y 3/3	29.5	6.033333333	21.30333333
2.5Y 2.5/1	27.69	2.133333333	4.853333333
10YR 8/1	82.64666667	0.813333333	3.923333333
10YR 8/2	82.05666667	2.4	11.96333333
10YR 8/3	82.66666667	4.11	18.86
10YR 8/4	82.27333333	5.216666667	24.70666667
10YR 8/6	82.82333333	8.2	38.25333333
10YR 8/8	82.79	11.7	52.49
10YR 7/1	72.02	1.38	5.21
10YR 7/2	72.73333333	2.79	12.23333333
10YR 7/3	72.17333333	4.773333333	17.39666667
10YR 7/4	71.79	5.526666667	25.05
10YR 7/6	72.80333333	9.636666667	36.53666667
10YR 7/8	73.34666667	12.52666667	49.93
10YR 6/1	63.00666667	1.87	5.026666667
10YR 6/2	63.03666667	3.283333333	12.63666667
10YR 6/3	62.22333333	4.056666667	19.44333333
10YR 6/4	60.26	5.123333333	25.15666667
10YR 6/6	63.15333333	10.42666667	38.91333333
10YR 6/8	63.50333333	12.87333333	50.70333333
10YR 5/1	52.59666667	2.25	5.466666667
10YR 5/2	52.22666667	3.986666667	12.17
10YR 5/3	52.5	6.04	18.56
10YR 5/4	51.40333333	7.503333333	25.50666667
10YR 5/6	53.91	11.35666667	37.51333333
10YR 5/8	53.01	11.86333333	41.45
10YR 4/1	42.86666667	3.82	5.87
10YR 4/2	42.99	4.696666667	12.74666667
10YR 4/3	43.56666667	6.456666667	18.14
10YR 4/4	42.67333333	8.113333333	23.11333333
10YR 4/6	42.37666667	12.93666667	36.37
10YR 3/1	33.35333333	2.78	5.33
10YR 3/2	33.51	4.8	11.14
10YR 3/3	31.33333333	8.53	18.67
10YR 3/4	33.06333333	10.11666667	21.71333333
10YR 3/6	37.23	13.14333333	32.94
10YR 2/1	22.30333333	4.996666667	4.246666667
10YR 2/2	23.32	6.993333333	8.42
7.5YR 8/1	82.07333333	1.85	3.463333333
7.5YR 8/2	82.68666667	4.01	10.41
7.5YR 8/3	82.21333333	6.263333333	18.29333333
7.5YR 8/4	83.25	8.58	22.98
7.5YR 8/6	82.05666667	13.45	33.88333333
7.5YR 7/1	71.76333333	2.516666667	4.913333333
7.5YR 7/2	73.30666667	4.470333333	10.52333333
7.5YR 7/3	72.39333333	7.19	16.39333333
7.5YR 7/4	72.22333333	8.863333333	22.00666667
7.5YR 7/6	72.37666667	14.81333333	34.11666667
7.5YR 7/8	73.20333333	18.59	45.37333333
7.5YR 6/1	61.23	3.096666667	4.743333333
7.5YR 6/2	62.89666667	5.086666667	10.63333333
7.5YR 6/3	62.62	7.643333333	16.5
7.5YR 6/4	62.62	10.33333333	21.50666667
7.5YR 6/6	62.26666667	14.83333333	34.09666667
7.5YR 6/8	63.07	19.50666667	45.34333333
7.5YR 5/1	52.94333333	2.736666667	5.573333333
7.5YR 5/2	51.95666667	6.12	11.56
7.5YR 5/3	51.35666667	8.866666667	15.99
7.5YR 5/4	53.17333333	10.78666667	21.39666667
7.5YR 5/6	53.19333333	15.82333333	33.98666667
7.5YR 5/8	56.32333333	20.01333333	46.43666667
7.5YR 4/1	42.49333333	3.546666667	5.163333333
7.5YR 4/2	42.64333333	6.343333333	10.91333333
7.5YR 4/3	43.14	9.463333333	16.11
7.5YR 4/4	44.48666667	12.15333333	22.39
7.5YR 4/6	49.99333333	15.95	32.53333333
7.5YR 3/1	32.82333333	4.096666667	4.58
7.5YR 3/2	34.04333333	6.646666667	9.49
7.5YR 3/3	29.28666667	12.26	19.49333333
7.5YR 3/4	32.45333333	12.62666667	19.89
7.5YR 2.5/1	28.26	4.006666667	4.526666667
7.5YR 2.5/2	22.47666667	10.38333333	14.27
7.5YR 2.5/3	25.69	12.82	18.01333333
