chip,L,a,b
2.5Y 8/1,80.66,0.77,7.216666667
2.5Y 8/2,80.84666667,1.526666667,15.99666667
2.5Y 8/3,80.33333333,3.006666667,21.46
2.5Y 8/4,79.77666667,4.15,27.66333333
2.5Y 8/6,79.35,6.91,40.52333333
2.5Y 8/8,79.05666667,9.716666667,52.56
2.5Y 7/1,71.20333333,0.81,7.383333333
2.5Y 7/2,70.42,1.71,13.76666667
2.5Y 7/3,70.44666667,3.496666667,20.58
2.5Y 7/4,70.32333333,5.076666667,27.92333333
2.5Y 7/6,69.58,7.73,40.48333333
2.5Y 7/8,69.27333333,11.17333333,53.68
2.5Y 6/1,60.78666667,1,7.576666667
2.5Y 6/2,60.53333333,2.123333333,14.98
2.5Y 6/3,60.91,3.74,21.10333333
2.5Y 6/4,60.28666667,5.19,27.54
2.5Y 6/6,59.51,7.836666667,40.41
2.5Y 6/8,59.48333333,11.61666667,54.44
2.5Y 5/1,51.00666667,1.316666667,7.963333333
2.5Y 5/2,50.36333333,2.956666667,14.24666667
2.5Y 5/3,50.75,3.766666667,21.3
2.5Y 5/4,50.11,6.026666667,27.59666667
2.5Y 5/6,52.23,8.94,40.43666667
2.5Y 4/1,40.86333333,1.66,8.096666667
2.5Y 4/2,40.19666667,3.063333333,14.9
2.5Y 4/3,39.57,4.363333333,20.87666667
2.5Y 4/4,39.60666667,6.363333333,26.44
2.5Y 3/1,29.93333333,1.256666667,6.863333333
2.5Y 3/2,28.87,2.963333333,14.29
2.5Y 3/3,26.60333333,5.236666667,26.19333333
2.5Y 2.5/1,24.45666667,1.3,6.31
10YR 8/1,81.19333333,1.333333333,6.006666667
10YR 8/2,80.77666667,3.353333333,13.33666667
10YR 8/3,80.77666667,5.74,19.78666667
10YR 8/4,80.29333333,7.223333333,25.21666667
10YR 8/6,79.98333333,11.23666667,37.91666667
10YR 8/8,79.94,15.55666667,51.56666667
10YR 7/1,70.74,1.946666667,6.666666667
10YR 7/2,71.21,3.846666667,13.44333333
10YR 7/3,70.58666667,6.416666667,18.17666667
10YR 7/4,69.97666667,7.656666667,25.29666667
10YR 7/6,69.80666667,12.36,36.63
10YR 7/8,69.74666667,16.42666667,48.67666667
10YR 6/1,61.61,2.383333333,6.636666667
10YR 6/2,60.97666667,4.533333333,13.62666667
10YR 6/3,60.61666667,6.363333333,19.03666667
10YR 6/4,60.58,8.663333333,24.85
10YR 6/6,60.39666667,12.75,38.62333333
10YR 6/8,59.67,16.13333333,50.48666667
10YR 5/1,51.14,2.413333333,5.936666667
10YR 5/2,50.49,4.43,12.94666667
10YR 5/3,50.20666667,6.886666667,19.08333333
10YR 5/4,50.08666667,9.423333333,25.41
10YR 5/6,50.20666667,13.28,38.22
10YR 5/8,49.00333333,14.79333333,42.40666667
10YR 4/1,40.73666667,2.5,7.43
10YR 4/2,40.20666667,4.936666667,13.91333333
10YR 4/3,40.05333333,7.45,19.40666667
10YR 4/4,38.75333333,9.98,24.59
10YR 4/6,40.01666667,13.78333333,39.95
10YR 3/1,30.05,2.343333333,6.716666667
10YR 3/2,30.01333333,4.773333333,12.83333333
10YR 3/3,28.72666667,7.576666667,21.56333333
10YR 3/4,30.34333333,9.47,25.15
10YR 3/6,34.45,13.36,36.78666667
10YR 2/1,19.69333333,2.08,6.493333333
10YR 2/2,20.04333333,4.91,12.35666667
7.5YR 8/1,80.88,2.516666667,5.313333333
7.5YR 8/2,80.90666667,4.783333333,11.53
7.5YR 8/3,80.31333333,7.896666667,18.06666667
7.5YR 8/4,80.67666667,9.973333333,23.23666667
7.5YR 8/6,79.75333333,15.19,32.98666667
7.5YR 7/1,71.01,2.916666667,6.436666667
7.5YR 7/2,70.92666667,5.516666667,11.57666667
7.5YR 7/3,70.88,8.16,16.97333333
7.5YR 7/4,69.79,10.40333333,22.14
7.5YR 7/6,69.88,16.13333333,33.32333333
7.5YR 7/8,69.56,20.80666667,43.88
7.5YR 6/1,60.63666667,3.02,6.223333333
7.5YR 6/2,61.12666667,5.5,11.57666667
7.5YR 6/3,60.51,8.446666667,17.02666667
7.5YR 6/4,59.97333333,11.40333333,21.74666667
7.5YR 6/6,59.58,16.81,33.05333333
7.5YR 6/8,59.21,21.10333333,45.21
7.5YR 5/1,50.83,3.376666667,6.293333333
7.5YR 5/2,50.65,6.23,12.46
7.5YR 5/3,49.59,9.256666667,16.44
7.5YR 5/4,50.27333333,11.52333333,21.80333333
7.5YR 5/6,49.40666667,17.3,34.04333333
7.5YR 5/8,52.41,21.8,45.86666667
7.5YR 4/1,40.68333333,3.296666667,6.153333333
7.5YR 4/2,40.12333333,6.466666667,11.69333333
7.5YR 4/3,39.77333333,10.13,17.12333333
7.5YR 4/4,41.76,12.26,23.07
7.5YR 4/6,46.57,17.36333333,33.10333333
7.5YR 3/1,29.19666667,3.67,5.896666667
7.5YR 3/2,30.18666667,6.17,10.99
7.5YR 3/3,26.31333333,11.81333333,22.72
7.5YR 3/4,29.83,12.52333333,22
7.5YR 2.5/1,24.77,3.263333333,5.806666667
7.5YR 2.5/2,18.79,9.273333333,19.05
7.5YR 2.5/3,22.34666667,12.06,22.31666667
