chip,L,a,b
2.5Y 8/1,80.6,0.733333333,7.766666667
2.5Y 8/2,81.16666667,1.566666667,16.16666667
2.5Y 8/3,80.96666667,3.133333333,21.56666667
2.5Y 8/4,80.3,4.3,27.76666667
2.5Y 8/6,79.6,7.033333333,40.9
2.5Y 8/8,79.53333333,9.8,53.6
2.5Y 7/1,71.5,1.033333333,7.233333333
2.5Y 7/2,70.86666667,1.866666667,13.76666667
2.5Y 7/3,70.7,3.8,20.56666667
2.5Y 7/4,70.46666667,5.1,28.2
2.5Y 7/6,69.83333333,8,40.63333333
2.5Y 7/8,69.8,11.53333333,54.06666667
2.5Y 6/1,60.73333333,1.666666667,7.466666667
2.5Y 6/2,60.76666667,2.333333333,15.03333333
2.5Y 6/3,61.26666667,3.933333333,21.03333333
2.5Y 6/4,60.26666667,5.6,27.33333333
2.5Y 6/6,59.93333333,8,40.63333333
2.5Y 6/8,60.2,11.86666667,54.3
2.5Y 5/1,51.13333333,1.5,7.666666667
2.5Y 5/2,50.66666667,3.133333333,14
2.5Y 5/3,51.23333333,3.9,21.26666667
2.5Y 5/4,50.63333333,6.266666667,27.46666667
2.5Y 5/6,52.5,9.4,41.26666667
2.5Y 4/1,41.33333333,1.833333333,7.933333333
2.5Y 4/2,40.2,3.366666667,14.56666667
2.5Y 4/3,40.23333333,4.5,20.6
2.5Y 4/4,40.43333333,6.6,26.33333333
2.5Y 3/1,30.53333333,1.566666667,6.533333333
2.5Y 3/2,28.66666667,3.2,14.53333333
2.5Y 3/3,27.1,5.166666667,23.66666667
2.5Y 2.5/1,25,1.733333333,5.966666667
10YR 8/1,81.5,1.2,6.4
10YR 8/2,81.06666667,3.066666667,13.43333333
10YR 8/3,81.33333333,5.866666667,19.7
10YR 8/4,80.73333333,7.5,25.13333333
10YR 8/6,80.5,11.56666667,38.06666667
10YR 8/8,80.76666667,16.3,52
10YR 7/1,71,1.933333333,6.966666667
10YR 7/2,71.5,4.066666667,13.1
10YR 7/3,70.93333333,6.466666667,18.63333333
10YR 7/4,70.56666667,7.966666667,25.1
10YR 7/6,70.46666667,12.46666667,37.23333333
10YR 7/8,70.53333333,16.46666667,49.1
10YR 6/1,62.1,2.5,6.733333333
10YR 6/2,61.56666667,4.766666667,13.16666667
10YR 6/3,61.4,6.6,18.53333333
10YR 6/4,61.16666667,8.7,24.16666667
10YR 6/6,60.7,12.8,38.53333333
10YR 6/8,60.33333333,16.2,50.46666667
10YR 5/1,51.26666667,2.466666667,6.066666667
10YR 5/2,51.06666667,4.5,12.1
10YR 5/3,50.43333333,7.2,18.66666667
10YR 5/4,50.53333333,9.633333333,25.03333333
10YR 5/6,50.5,13.23333333,37.83333333
10YR 5/8,53,14.96666667,45.3
10YR 4/1,40.96666667,2.866666667,6.9
10YR 4/2,40.33333333,5.233333333,13.4
10YR 4/3,40.7,7.733333333,19.1
10YR 4/4,39.7,9.833333333,24.43333333
10YR 4/6,40.56666667,13.76666667,39.2
10YR 3/1,30.26666667,2.666666667,6.066666667
10YR 3/2,30.5,5.033333333,12.36666667
10YR 3/3,30.06666667,7.233333333,19.53333333
10YR 3/4,30.23333333,9.666666667,24.06666667
10YR 3/6,34.13333333,13.16666667,35.26666667
10YR 2/1,19.6,2.5,5.733333333
10YR 2/2,20.36666667,5.333333333,11.13333333
7.5Y 8/1,81.1,2.266666667,5.8
7.5YR 8/2,80.66666667,4.366666667,11.83333333
7.5YR 8/3,80.66666667,7.7,18.63333333
7.5YR 8/4,80.8,10.36666667,23.46666667
7.5YR 8/6,80.46666667,15.33333333,33.56666667
7.5YR 7/1,70.93333333,3.033333333,6.5
7.5YR 7/2,71.46666667,5.7,11.56666667
7.5YR 7/3,71.06666667,8.433333333,17
7.5YR 7/4,69.96666667,10.56666667,22.2
7.5YR 7/6,70.13333333,16.26666667,33.8
7.5YR 7/8,70.36666667,20.96666667,45.13333333
7.5YR 6/1,60.63333333,3.366666667,6
7.5YR 6/2,61.36666667,5.733333333,11.43333333
7.5YR 6/3,60.9,8.733333333,16.9
7.5YR 6/4,60.83333333,10.8,20.83333333
7.5YR 6/6,59.96666667,16.73333333,33.5
7.5YR 6/8,58.96666667,21.2,45.4
7.5YR 5/1,51.03333333,3.633333333,6.033333333
7.5YR 5/2,50.83333333,6.533333333,12.16666667
7.5YR 5/3,49.86666667,9.533333333,16.33333333
7.5YR 5/4,50.66666667,11.66666667,22
7.5YR 5/6,49.86666667,17.23333333,34.16666667
7.5YR 5/8,52.63333333,21.6,46.3
7.5YR 4/1,40.96666667,3.666666667,5.966666667
7.5YR 4/2,40.03333333,6.7,11.56666667
7.5YR 4/3,40,10.16666667,16.9
7.5YR 4/4,41.93333333,12.3,23.6
7.5YR 4/6,47.1,17.26666667,33.5
7.5YR 3/1,29.8,3.7,6.266666667
7.5YR 3/2,30.66666667,6.266666667,11.06666667
7.5YR 3/3,26.66666667,11.66666667,22.7
7.5YR 3/4,30.23333333,12.4,22.06666667
7.5YR 2.5/1,25.26666667,3.533333333,5.9
7.5YR 2.5/2,19.33333333,9.3,18.2
7.5YR 2.5/3,23,11.8,22.36666667
